user_id,state_id,country_id,user_status_id,user_category_id,full_name,first_name,middle_name,last_name,primary_email_address,primary_phone_number,addr_ln1,addr_ln2,addr_ln3,city_name,zip_code,last_location,last_update_date,time_zone,profile_picture_path,gender,language_1,language_2,language_3,promotion_wizard_stage,promotion_wizard_last_update_date,external_auth_provider,dob
user_id_4483,state_id_5939,525,5,786,full_name_1522,first_name_5487,middle_name_2310,last_name_8444,primary_email_address_3064,primary_phone_number_6043,addr_ln1_2812,addr_ln2_6423,addr_ln3_6603,city_name_5040,zip_code_7526,last_location_2769,2026-06-18 02:21:00,time_zone_6166,profile_picture_path_8512,gender_5616,language_1_1471,language_2_7294,language_3_3852,855,2026-09-14 03:51:00,external_auth_provider_7206,2026-01-01
user_id_1244,state_id_3656,285,169,378,full_name_8408,first_name_2006,middle_name_4918,last_name_4488,primary_email_address_4631,primary_phone_number_3365,addr_ln1_6536,addr_ln2_5769,addr_ln3_6879,city_name_3970,zip_code_4641,last_location_2352,2026-06-15 05:34:00,time_zone_3282,profile_picture_path_9607,gender_7338,language_1_4708,language_2_1755,language_3_5579,21,2026-03-14 04:27:00,external_auth_provider_7427,2026-01-01
user_id_4011,state_id_2485,454,162,102,full_name_8952,first_name_5841,middle_name_3571,last_name_3274,primary_email_address_3146,primary_phone_number_1433,addr_ln1_5948,addr_ln2_2425,addr_ln3_7672,city_name_8602,zip_code_9873,last_location_3897,2026-03-03 20:43:00,time_zone_4944,profile_picture_path_3885,gender_7653,language_1_7266,language_2_4439,language_3_8779,880,2026-01-03 21:14:00,external_auth_provider_3067,2026-01-01
user_id_6815,state_id_1540,995,221,125,full_name_4778,first_name_3570,middle_name_9193,last_name_1739,primary_email_address_5949,primary_phone_number_9710,addr_ln1_6870,addr_ln2_1124,addr_ln3_4030,city_name_3477,zip_code_1738,last_location_7848,2026-02-19 06:37:00,time_zone_1798,profile_picture_path_2740,gender_4921,language_1_4989,language_2_4467,language_3_7122,634,2026-04-27 00:38:00,external_auth_provider_8982,2026-01-01
user_id_2388,state_id_2012,3,60,662,full_name_1355,first_name_4011,middle_name_6596,last_name_8049,primary_email_address_2629,primary_phone_number_7173,addr_ln1_3395,addr_ln2_4018,addr_ln3_6578,city_name_7169,zip_code_5600,last_location_9064,2026-02-03 01:47:00,time_zone_7036,profile_picture_path_6798,gender_6064,language_1_1040,language_2_8364,language_3_3336,233,2026-01-01 18:50:00,external_auth_provider_6638,2026-01-01
user_id_4558,state_id_3239,761,240,85,full_name_7308,first_name_8679,middle_name_8626,last_name_9756,primary_email_address_2236,primary_phone_number_5667,addr_ln1_6431,addr_ln2_7174,addr_ln3_5745,city_name_8226,zip_code_5717,last_location_5015,2026-08-16 09:50:00,time_zone_2937,profile_picture_path_5844,gender_6779,language_1_4208,language_2_2710,language_3_2315,687,2026-08-21 00:27:00,external_auth_provider_7893,2026-01-01
user_id_8012,state_id_6570,60,353,182,full_name_8715,first_name_7849,middle_name_2096,last_name_3048,primary_email_address_1434,primary_phone_number_3623,addr_ln1_2417,addr_ln2_6261,addr_ln3_8811,city_name_9969,zip_code_1900,last_location_7664,2026-12-06 11:51:00,time_zone_1980,profile_picture_path_3553,gender_3163,language_1_5028,language_2_2134,language_3_2865,401,2026-09-03 05:35:00,external_auth_provider_8238,2026-01-01
user_id_1393,state_id_7330,645,846,490,full_name_8005,first_name_4350,middle_name_6493,last_name_5031,primary_email_address_3219,primary_phone_number_3476,addr_ln1_4250,addr_ln2_8967,addr_ln3_3016,city_name_9833,zip_code_6828,last_location_3544,2026-02-06 13:24:00,time_zone_9467,profile_picture_path_5660,gender_9398,language_1_7023,language_2_7784,language_3_4615,934,2026-09-12 11:05:00,external_auth_provider_5686,2026-01-01
user_id_3494,state_id_6104,198,23,42,full_name_1473,first_name_5011,middle_name_8431,last_name_6515,primary_email_address_5024,primary_phone_number_9812,addr_ln1_3433,addr_ln2_4986,addr_ln3_2198,city_name_4394,zip_code_3346,last_location_5254,2026-08-12 20:38:00,time_zone_9228,profile_picture_path_7227,gender_7225,language_1_4419,language_2_3077,language_3_8843,774,2026-10-03 07:16:00,external_auth_provider_2692,2026-01-01
user_id_9042,state_id_4304,821,700,509,full_name_7762,first_name_6611,middle_name_2172,last_name_6584,primary_email_address_4445,primary_phone_number_9581,addr_ln1_3284,addr_ln2_1675,addr_ln3_2544,city_name_2611,zip_code_5502,last_location_1496,2026-07-18 20:10:00,time_zone_8011,profile_picture_path_7437,gender_5797,language_1_4014,language_2_8062,language_3_8292,887,2026-04-23 20:04:00,external_auth_provider_3367,2026-01-01
